Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,10.0,-33.0,125.0,-58.0,15.0,0.0
40,12.0,-46.0,144.0,-56.0,13.0,-2.0
80,27.0,-27.0,144.0,-53.0,13.0,-7.0
120,42.0,0.0,156.0,-51.0,10.0,-10.0
160,57.0,0.0,163.0,-50.0,10.0,-11.0
200,63.0,35.0,156.0,-49.0,9.0,-10.0
240,74.0,60.0,154.0,-45.0,8.0,-9.0
280,78.0,93.0,162.0,-43.0,7.0,-3.0
320,91.0,101.0,149.0,-41.0,6.0,-1.0
360,106.0,114.0,132.0,-38.0,4.0,2.0
400,120.0,94.0,127.0,-36.0,5.0,5.0
440,126.0,74.0,131.0,-34.0,5.0,7.0
480,125.0,71.0,152.0,-31.0,7.0,6.0
520,123.0,56.0,135.0,-27.0,6.0,3.0
560,132.0,30.0,126.0,-25.0,5.0,-1.0
600,149.0,31.0,119.0,-22.0,5.0,-5.0
640,163.0,68.0,108.0,-19.0,2.0,-11.0
680,172.0,54.0,80.0,-16.0,0.0,-14.0
720,178.0,55.0,68.0,-14.0,-3.0,-19.0
760,170.0,86.0,75.0,-12.0,-6.0,-19.0
800,155.0,93.0,95.0,-8.0,-8.0,-23.0
840,143.0,75.0,97.0,-4.0,-10.0,-20.0
880,148.0,72.0,80.0,-2.0,-11.0,-20.0
920,150.0,87.0,77.0,1.0,-8.0,-17.0
960,149.0,68.0,78.0,2.0,-7.0,-11.0
1000,148.0,73.0,73.0,5.0,-7.0,-6.0
1040,138.0,115.0,53.0,8.0,-4.0,-2.0
1080,137.0,90.0,21.0,9.0,-3.0,2.0
1120,138.0,87.0,10.0,13.0,-2.0,3.0
1160,138.0,104.0,2.0,14.0,-3.0,5.0
1200,129.0,84.0,4.0,15.0,-5.0,6.0
1240,110.0,57.0,6.0,18.0,-7.0,6.0
1280,92.0,31.0,-14.0,19.0,-7.0,5.0
1320,85.0,18.0,-29.0,19.0,-10.0,6.0
1360,84.0,-27.0,-25.0,22.0,-9.0,5.0
1400,75.0,-24.0,-19.0,24.0,-9.0,5.0
1440,64.0,-47.0,-27.0,25.0,-7.0,6.0
1480,37.0,-46.0,-47.0,26.0,-7.0,11.0
1520,14.0,-47.0,-53.0,27.0,-5.0,11.0
1560,-2.0,-42.0,-38.0,28.0,-5.0,10.0
1600,-11.0,-25.0,-13.0,30.0,-5.0,12.0
1640,-12.0,-54.0,-15.0,31.0,-3.0,14.0
1680,-12.0,-46.0,-19.0,31.0,-2.0,13.0
1720,-15.0,-19.0,-16.0,32.0,-2.0,11.0
1760,-33.0,-5.0,-18.0,33.0,-4.0,9.0
1800,-48.0,-32.0,-22.0,35.0,-2.0,7.0
1840,-60.0,-23.0,-33.0,37.0,-1.0,9.0
1880,-81.0,40.0,-14.0,36.0,-3.0,6.0
1920,-97.0,-13.0,-3.0,35.0,-2.0,5.0
1960,-99.0,-39.0,13.0,35.0,-1.0,2.0
2000,-94.0,-48.0,4.0,35.0,0.0,3.0
2040,-91.0,-39.0,18.0,35.0,0.0,0.0
2080,-107.0,-60.0,26.0,34.0,0.0,-1.0
2120,-113.0,-63.0,33.0,36.0,0.0,-4.0
2160,-114.0,-44.0,48.0,34.0,1.0,-2.0
2200,-116.0,-24.0,49.0,35.0,-1.0,-1.0
2240,-122.0,-9.0,73.0,36.0,-1.0,-1.0
