Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,73.0,90.0,142.0,-38.0,12.0,32.0
40,68.0,88.0,140.0,-39.0,13.0,33.0
80,81.0,64.0,138.0,-40.0,11.0,35.0
120,98.0,85.0,107.0,-40.0,10.0,37.0
160,101.0,75.0,96.0,-40.0,10.0,39.0
200,91.0,24.0,105.0,-41.0,11.0,43.0
240,74.0,15.0,102.0,-41.0,14.0,46.0
280,62.0,24.0,107.0,-42.0,15.0,47.0
320,59.0,-8.0,99.0,-40.0,14.0,45.0
360,64.0,-25.0,90.0,-40.0,17.0,41.0
400,74.0,-20.0,80.0,-40.0,17.0,37.0
440,79.0,-12.0,61.0,-40.0,17.0,34.0
480,55.0,7.0,54.0,-39.0,15.0,30.0
520,37.0,-6.0,46.0,-37.0,10.0,23.0
560,28.0,46.0,40.0,-34.0,8.0,17.0
600,19.0,114.0,39.0,-34.0,7.0,13.0
640,24.0,91.0,29.0,-35.0,6.0,9.0
680,51.0,53.0,33.0,-32.0,6.0,5.0
720,69.0,81.0,30.0,-31.0,6.0,0.0
760,56.0,58.0,50.0,-31.0,6.0,-3.0
800,28.0,-29.0,66.0,-29.0,6.0,-2.0
840,10.0,-38.0,53.0,-28.0,4.0,-4.0
880,3.0,-21.0,38.0,-28.0,4.0,-4.0
920,-8.0,-37.0,35.0,-27.0,5.0,-5.0
960,-21.0,-36.0,56.0,-25.0,5.0,-5.0
1000,-19.0,-38.0,72.0,-22.0,5.0,-7.0
1040,-17.0,-26.0,85.0,-21.0,4.0,-8.0
1080,-22.0,-21.0,88.0,-22.0,4.0,-12.0
1120,-21.0,-27.0,64.0,-20.0,4.0,-18.0
1160,-14.0,-37.0,34.0,-18.0,2.0,-23.0
1200,-19.0,-27.0,17.0,-18.0,0.0,-26.0
1240,-34.0,-50.0,11.0,-15.0,0.0,-28.0
1280,-47.0,-50.0,4.0,-13.0,-2.0,-33.0
1320,-54.0,-28.0,-27.0,-11.0,-2.0,-36.0
1360,-58.0,-26.0,-64.0,-11.0,-3.0,-40.0
1400,-61.0,-30.0,-80.0,-9.0,-2.0,-41.0
1440,-64.0,-22.0,-90.0,-6.0,-2.0,-40.0
1480,-62.0,-29.0,-97.0,-4.0,-3.0,-42.0
1520,-65.0,-46.0,-100.0,0.0,-4.0,-41.0
1560,-67.0,-48.0,-106.0,-1.0,-6.0,-36.0
1600,-59.0,-60.0,-124.0,0.0,-6.0,-34.0
