Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,167.0,-25.0,-383.0,-43.0,-6.0,-5.0
40,172.0,-21.0,-380.0,-44.0,-7.0,-9.0
80,169.0,-27.0,-364.0,-46.0,-9.0,-10.0
120,165.0,-29.0,-363.0,-47.0,-8.0,-9.0
160,167.0,-27.0,-367.0,-49.0,-8.0,-3.0
200,167.0,-20.0,-348.0,-52.0,-6.0,2.0
240,166.0,-19.0,-340.0,-53.0,-6.0,11.0
280,168.0,-12.0,-340.0,-54.0,-3.0,22.0
320,175.0,-20.0,-352.0,-57.0,0.0,32.0
360,180.0,-11.0,-349.0,-60.0,3.0,42.0
400,181.0,-32.0,-337.0,-62.0,4.0,51.0
440,179.0,-50.0,-320.0,-62.0,9.0,53.0
480,178.0,-41.0,-302.0,-61.0,10.0,56.0
520,174.0,-24.0,-275.0,-62.0,9.0,54.0
560,173.0,-24.0,-247.0,-62.0,10.0,53.0
600,180.0,-11.0,-246.0,-62.0,8.0,46.0
640,192.0,21.0,-234.0,-65.0,7.0,40.0
680,196.0,32.0,-230.0,-66.0,7.0,35.0
720,191.0,23.0,-210.0,-67.0,5.0,29.0
760,192.0,8.0,-210.0,-67.0,5.0,21.0
800,198.0,-1.0,-205.0,-67.0,5.0,16.0
840,193.0,3.0,-195.0,-66.0,9.0,10.0
880,192.0,2.0,-192.0,-68.0,12.0,11.0
920,190.0,3.0,-181.0,-68.0,13.0,10.0
960,187.0,27.0,-176.0,-65.0,16.0,11.0
1000,172.0,45.0,-184.0,-65.0,20.0,13.0
1040,158.0,36.0,-191.0,-63.0,20.0,14.0
1080,147.0,43.0,-187.0,-63.0,20.0,15.0
1120,139.0,38.0,-173.0,-62.0,21.0,15.0
1160,121.0,34.0,-175.0,-61.0,21.0,10.0
1200,102.0,17.0,-196.0,-58.0,20.0,6.0
1240,92.0,27.0,-186.0,-58.0,20.0,0.0
1280,80.0,52.0,-142.0,-59.0,22.0,-5.0
1320,73.0,29.0,-103.0,-57.0,20.0,-13.0
1360,76.0,57.0,-101.0,-55.0,19.0,-20.0
1400,82.0,72.0,-142.0,-53.0,20.0,-25.0
1440,78.0,99.0,-163.0,-52.0,20.0,-31.0
1480,69.0,84.0,-178.0,-49.0,21.0,-32.0
1520,68.0,86.0,-181.0,-47.0,19.0,-34.0
1560,71.0,107.0,-196.0,-42.0,22.0,-32.0
1600,84.0,95.0,-225.0,-41.0,20.0,-27.0
1640,104.0,71.0,-247.0,-37.0,22.0,-24.0
1680,121.0,71.0,-264.0,-37.0,22.0,-19.0
1720,120.0,62.0,-269.0,-37.0,24.0,-16.0
1760,113.0,23.0,-256.0,-37.0,25.0,-13.0
1800,113.0,7.0,-276.0,-36.0,27.0,-10.0
1840,123.0,11.0,-303.0,-36.0,25.0,-9.0
1880,137.0,-4.0,-324.0,-37.0,27.0,-6.0
1920,152.0,-33.0,-345.0,-36.0,25.0,-10.0
1960,169.0,-53.0,-343.0,-32.0,26.0,-8.0
2000,174.0,-49.0,-335.0,-29.0,25.0,-10.0
2040,162.0,-30.0,-332.0,-27.0,24.0,-11.0
2080,158.0,-48.0,-328.0,-25.0,23.0,-12.0
2120,164.0,-36.0,-340.0,-23.0,21.0,-11.0
2160,160.0,-15.0,-347.0,-23.0,21.0,-9.0
2200,149.0,-30.0,-351.0,-22.0,21.0,-7.0
2240,145.0,-64.0,-359.0,-24.0,24.0,-4.0
2280,145.0,-66.0,-358.0,-23.0,25.0,-2.0
2320,137.0,-63.0,-361.0,-24.0,28.0,0.0
2360,117.0,-65.0,-349.0,-25.0,30.0,2.0
2400,119.0,-106.0,-348.0,-26.0,32.0,-1.0
2440,127.0,-94.0,-327.0,-25.0,34.0,-2.0
2480,121.0,-73.0,-298.0,-24.0,36.0,-5.0
2520,110.0,-78.0,-270.0,-22.0,35.0,-7.0
2560,112.0,-90.0,-253.0,-24.0,35.0,-14.0
2600,121.0,-48.0,-254.0,-26.0,34.0,-17.0
2640,116.0,-22.0,-257.0,-26.0,33.0,-22.0
2680,122.0,-42.0,-250.0,-25.0,33.0,-27.0
2720,136.0,-40.0,-240.0,-23.0,33.0,-31.0
2760,133.0,-9.0,-216.0,-24.0,34.0,-33.0
2800,122.0,-21.0,-199.0,-24.0,35.0,-35.0
2840,114.0,-28.0,-179.0,-25.0,36.0,-35.0
2880,102.0,1.0,-176.0,-25.0,35.0,-36.0
2920,85.0,1.0,-162.0,-25.0,36.0,-34.0
2960,77.0,-44.0,-142.0,-23.0,38.0,-33.0
3000,89.0,-51.0,-138.0,-24.0,36.0,-31.0
3040,87.0,-21.0,-124.0,-22.0,36.0,-29.0
3080,65.0,-30.0,-100.0,-22.0,36.0,-28.0
3120,50.0,-49.0,-79.0,-22.0,36.0,-27.0
3160,54.0,-21.0,-48.0,-21.0,38.0,-26.0
3200,48.0,0.0,-12.0,-22.0,37.0,-27.0
3240,40.0,-21.0,24.0,-23.0,38.0,-25.0
3280,51.0,-49.0,54.0,-23.0,38.0,-26.0
3320,57.0,-14.0,64.0,-25.0,36.0,-28.0
3360,42.0,3.0,74.0,-24.0,37.0,-27.0
3400,42.0,-54.0,88.0,-24.0,37.0,-28.0
3440,62.0,-78.0,108.0,-20.0,35.0,-27.0
3480,59.0,-37.0,118.0,-20.0,34.0,-24.0
3520,36.0,-59.0,139.0,-18.0,28.0,-24.0
3560,24.0,-99.0,139.0,-16.0,25.0,-20.0
3600,17.0,-60.0,138.0,-15.0,23.0,-17.0
