Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,66.0,36.0,-97.0,-5.0,-4.0,31.0
40,71.0,48.0,-101.0,-5.0,-5.0,31.0
80,77.0,50.0,-94.0,-2.0,-5.0,28.0
120,79.0,68.0,-78.0,-3.0,-7.0,27.0
160,83.0,39.0,-70.0,-4.0,-9.0,25.0
200,92.0,15.0,-77.0,-2.0,-12.0,22.0
240,90.0,35.0,-66.0,-3.0,-12.0,20.0
280,79.0,34.0,-57.0,-1.0,-14.0,21.0
320,70.0,-4.0,-44.0,-2.0,-15.0,20.0
360,70.0,8.0,-41.0,0.0,-15.0,20.0
400,61.0,18.0,-35.0,0.0,-16.0,18.0
440,53.0,-8.0,-19.0,0.0,-15.0,16.0
480,42.0,-19.0,-13.0,0.0,-14.0,14.0
520,33.0,-12.0,-9.0,1.0,-13.0,8.0
560,20.0,-15.0,-5.0,3.0,-13.0,5.0
600,7.0,-11.0,-3.0,4.0,-14.0,-1.0
640,4.0,-19.0,9.0,7.0,-15.0,-3.0
680,12.0,-25.0,12.0,7.0,-16.0,-5.0
720,10.0,-11.0,18.0,8.0,-18.0,-8.0
760,5.0,5.0,37.0,11.0,-19.0,-11.0
800,2.0,1.0,55.0,10.0,-21.0,-11.0
840,0.0,7.0,73.0,10.0,-22.0,-12.0
880,0.0,9.0,82.0,12.0,-21.0,-11.0
920,2.0,1.0,86.0,11.0,-21.0,-13.0
960,1.0,-1.0,92.0,11.0,-20.0,-16.0
1000,-3.0,15.0,102.0,12.0,-18.0,-17.0
1040,-8.0,6.0,108.0,14.0,-16.0,-18.0
1080,-15.0,5.0,119.0,15.0,-15.0,-19.0
1120,-24.0,19.0,123.0,19.0,-16.0,-20.0
1160,-27.0,8.0,130.0,18.0,-18.0,-22.0
1200,-30.0,-10.0,135.0,19.0,-17.0,-21.0
1240,-32.0,-2.0,140.0,20.0,-15.0,-21.0
1280,-34.0,-4.0,140.0,19.0,-17.0,-22.0
1320,-37.0,-30.0,141.0,20.0,-18.0,-20.0
1360,-41.0,-27.0,136.0,21.0,-18.0,-19.0
1400,-39.0,-19.0,136.0,22.0,-17.0,-19.0
1440,-38.0,-31.0,155.0,23.0,-18.0,-17.0
1480,-36.0,-35.0,163.0,24.0,-18.0,-14.0
1520,-29.0,-16.0,153.0,25.0,-18.0,-13.0
1560,-30.0,9.0,145.0,25.0,-17.0,-8.0
1600,-40.0,5.0,152.0,25.0,-19.0,-5.0
1640,-41.0,2.0,156.0,26.0,-16.0,-2.0
1680,-36.0,15.0,157.0,27.0,-16.0,1.0
1720,-34.0,18.0,143.0,28.0,-16.0,3.0
1760,-23.0,-10.0,133.0,28.0,-13.0,5.0
1800,-14.0,-29.0,126.0,27.0,-13.0,8.0
1840,-7.0,-28.0,119.0,28.0,-12.0,10.0
1880,-11.0,-38.0,119.0,28.0,-12.0,13.0
1920,-17.0,-39.0,130.0,29.0,-10.0,13.0
1960,-7.0,-45.0,133.0,28.0,-11.0,15.0
2000,10.0,-25.0,125.0,28.0,-11.0,17.0
2040,19.0,7.0,118.0,28.0,-13.0,19.0
2080,26.0,-4.0,110.0,31.0,-12.0,18.0
2120,30.0,9.0,110.0,28.0,-12.0,20.0
2160,29.0,18.0,111.0,29.0,-11.0,20.0
2200,31.0,30.0,103.0,29.0,-13.0,19.0
2240,36.0,19.0,91.0,29.0,-11.0,21.0
2280,37.0,21.0,89.0,28.0,-9.0,21.0
2320,41.0,15.0,86.0,28.0,-8.0,24.0
2360,38.0,25.0,79.0,27.0,-6.0,24.0
2400,33.0,17.0,65.0,28.0,-3.0,26.0
2440,34.0,5.0,62.0,26.0,-2.0,26.0
2480,33.0,7.0,51.0,25.0,0.0,27.0
2520,36.0,11.0,47.0,23.0,1.0,26.0
2560,44.0,-3.0,40.0,25.0,1.0,27.0
2600,47.0,32.0,47.0,24.0,1.0,26.0
2640,43.0,52.0,57.0,22.0,0.0,26.0
2680,45.0,46.0,55.0,21.0,-1.0,26.0
2720,45.0,68.0,41.0,21.0,0.0,24.0
2760,48.0,97.0,29.0,22.0,0.0,24.0
2800,49.0,67.0,34.0,20.0,1.0,24.0
2840,54.0,55.0,30.0,21.0,2.0,25.0
2880,65.0,53.0,31.0,20.0,5.0,23.0
2920,65.0,41.0,33.0,17.0,6.0,23.0
2960,58.0,10.0,24.0,17.0,7.0,23.0
3000,63.0,-19.0,7.0,15.0,8.0,24.0
3040,73.0,3.0,15.0,14.0,10.0,23.0
3080,59.0,18.0,21.0,15.0,11.0,23.0
3120,52.0,-20.0,30.0,15.0,11.0,23.0
3160,61.0,-29.0,22.0,12.0,12.0,23.0
3200,61.0,43.0,26.0,12.0,12.0,22.0
3240,50.0,27.0,42.0,11.0,14.0,20.0
3280,47.0,-17.0,53.0,12.0,14.0,20.0
3320,49.0,8.0,52.0,10.0,15.0,19.0
3360,44.0,23.0,63.0,9.0,16.0,18.0
3400,25.0,3.0,73.0,7.0,16.0,14.0
3440,13.0,-21.0,68.0,6.0,17.0,10.0
3480,19.0,-7.0,71.0,4.0,18.0,6.0
3520,6.0,17.0,76.0,2.0,19.0,4.0
3560,-12.0,20.0,73.0,2.0,20.0,1.0
3600,-19.0,-1.0,75.0,1.0,19.0,-3.0
3640,-21.0,6.0,72.0,0.0,20.0,-5.0
3680,-33.0,23.0,78.0,0.0,19.0,-5.0
3720,-42.0,10.0,71.0,0.0,18.0,-4.0
3760,-46.0,0.0,64.0,-2.0,18.0,-3.0
3800,-43.0,-9.0,59.0,-2.0,19.0,-3.0
3840,-48.0,28.0,64.0,-1.0,21.0,-3.0
3880,-58.0,34.0,58.0,-3.0,20.0,-1.0
3920,-51.0,11.0,56.0,-3.0,21.0,0.0
3960,-46.0,32.0,82.0,-5.0,22.0,-2.0
4000,-53.0,51.0,89.0,-7.0,21.0,-1.0
4040,-55.0,26.0,100.0,-8.0,21.0,-3.0
4080,-49.0,11.0,99.0,-9.0,20.0,-2.0
4120,-52.0,15.0,110.0,-11.0,18.0,-2.0
4160,-61.0,2.0,121.0,-9.0,18.0,-5.0
4200,-59.0,-4.0,113.0,-11.0,18.0,-5.0
4240,-57.0,1.0,90.0,-10.0,17.0,-5.0
4280,-60.0,-20.0,79.0,-12.0,18.0,-2.0
4320,-69.0,-26.0,79.0,-12.0,17.0,0.0
4360,-75.0,-35.0,70.0,-12.0,19.0,0.0
4400,-81.0,-51.0,58.0,-12.0,18.0,4.0
4440,-92.0,-66.0,57.0,-11.0,17.0,6.0
4480,-94.0,-51.0,53.0,-14.0,17.0,7.0
4520,-85.0,-43.0,55.0,-15.0,16.0,7.0
4560,-80.0,-48.0,50.0,-15.0,16.0,7.0
4600,-75.0,-45.0,60.0,-15.0,15.0,4.0
4640,-69.0,-7.0,65.0,-14.0,12.0,3.0
4680,-66.0,3.0,75.0,-14.0,11.0,2.0
4720,-63.0,5.0,72.0,-15.0,10.0,2.0
4760,-50.0,7.0,78.0,-13.0,9.0,0.0
4800,-43.0,43.0,90.0,-14.0,7.0,1.0
4840,-41.0,57.0,78.0,-13.0,6.0,2.0
4880,-30.0,11.0,53.0,-13.0,5.0,1.0
4920,-17.0,2.0,36.0,-13.0,4.0,3.0
4960,-12.0,4.0,18.0,-12.0,6.0,5.0
5000,-18.0,-7.0,-2.0,-12.0,5.0,5.0
5040,-24.0,-12.0,-28.0,-11.0,3.0,7.0
5080,-24.0,7.0,-40.0,-11.0,3.0,7.0
5120,-16.0,26.0,-34.0,-11.0,2.0,7.0
5160,-6.0,35.0,-28.0,-10.0,-1.0,8.0
5200,15.0,28.0,-36.0,-9.0,-3.0,7.0
5240,38.0,19.0,-27.0,-10.0,-5.0,9.0
5280,49.0,31.0,-27.0,-11.0,-6.0,6.0
5320,56.0,25.0,-24.0,-9.0,-7.0,7.0
5360,67.0,2.0,-28.0,-8.0,-7.0,4.0
5400,67.0,18.0,-28.0,-6.0,-7.0,3.0
5440,66.0,26.0,-28.0,-6.0,-6.0,3.0
5480,63.0,19.0,-28.0,-6.0,-6.0,5.0
5520,59.0,13.0,-38.0,-4.0,-7.0,5.0
5560,37.0,32.0,-37.0,-3.0,-7.0,6.0
5600,14.0,22.0,-44.0,0.0,-8.0,7.0
5640,5.0,20.0,-65.0,-1.0,-10.0,7.0
5680,13.0,17.0,-81.0,0.0,-10.0,7.0
5720,22.0,19.0,-79.0,0.0,-11.0,9.0
5760,31.0,15.0,-70.0,1.0,-10.0,8.0
