Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,101.0,30.0,-49.0,-8.0,-11.0,42.0
40,124.0,-65.0,-153.0,-8.0,-7.0,-67.0
80,168.0,-2.0,-115.0,-6.0,-59.0,-18.0
120,189.0,42.0,-97.0,-2.0,-131.0,-34.0
160,221.0,-48.0,-179.0,6.0,-134.0,-45.0
200,217.0,29.0,-83.0,5.0,-134.0,20.0
240,197.0,30.0,-139.0,-22.0,-112.0,17.0
280,225.0,36.0,-146.0,-55.0,-94.0,151.0
320,236.0,34.0,-73.0,-79.0,-118.0,86.0
360,233.0,157.0,-52.0,-26.0,-124.0,-10.0
400,272.0,27.0,-125.0,22.0,-103.0,65.0
440,252.0,167.0,-47.0,-2.0,-74.0,56.0
480,249.0,8.0,-119.0,-19.0,-14.0,14.0
520,260.0,63.0,-16.0,-31.0,-11.0,47.0
560,248.0,55.0,-70.0,-68.0,-51.0,103.0
600,242.0,19.0,-121.0,-77.0,-53.0,56.0
640,226.0,3.0,6.0,-88.0,-63.0,15.0
680,182.0,165.0,-14.0,-77.0,-92.0,12.0
720,207.0,-22.0,-135.0,-58.0,-89.0,6.0
760,182.0,73.0,32.0,-62.0,-106.0,87.0
800,178.0,35.0,-8.0,-78.0,-87.0,77.0
840,176.0,30.0,-93.0,-106.0,-15.0,174.0
880,144.0,89.0,-37.0,-120.0,15.0,158.0
920,137.0,62.0,-31.0,-73.0,61.0,95.0
960,159.0,4.0,-44.0,-63.0,62.0,82.0
1000,120.0,119.0,-51.0,-81.0,27.0,69.0
1040,144.0,-5.0,-116.0,-76.0,40.0,13.0
1080,155.0,3.0,21.0,-101.0,21.0,32.0
1120,134.0,27.0,-30.0,-133.0,0.0,112.0
1160,151.0,-33.0,-129.0,-128.0,-8.0,57.0
1200,145.0,2.0,2.0,-158.0,-18.0,78.0
1240,125.0,124.0,16.0,-102.0,14.0,-10.0
1280,148.0,-79.0,-64.0,-67.0,94.0,-18.0
1320,125.0,84.0,24.0,-106.0,116.0,36.0
1360,162.0,-56.0,-54.0,-103.0,119.0,43.0
1400,162.0,29.0,-26.0,-93.0,98.0,125.0
1440,140.0,67.0,-30.0,-116.0,25.0,168.0
1480,149.0,13.0,-103.0,-79.0,65.0,-53.0
1520,170.0,-24.0,-15.0,-79.0,84.0,99.0
1560,142.0,12.0,-17.0,-118.0,44.0,17.0
1600,208.0,-78.0,-154.0,-113.0,56.0,-19.0
1640,231.0,-63.0,-43.0,-150.0,26.0,-36.0
1680,214.0,27.0,-68.0,-133.0,11.0,6.0
1720,252.0,-118.0,-167.0,-110.0,15.0,-72.0
1760,245.0,23.0,-50.0,-114.0,9.0,25.0
1800,239.0,-5.0,-110.0,-72.0,19.0,-27.0
1840,255.0,-65.0,-92.0,-36.0,41.0,54.0
1880,256.0,132.0,32.0,-35.0,58.0,-43.0
1920,289.0,-95.0,-159.0,-48.0,74.0,32.0
1960,315.0,85.0,-48.0,-75.0,37.0,-10.0
2000,313.0,14.0,-55.0,-62.0,-17.0,10.0
2040,322.0,34.0,-96.0,-26.0,-34.0,-44.0
2080,302.0,-11.0,-68.0,21.0,-46.0,-10.0
2120,266.0,42.0,-43.0,3.0,-6.0,12.0
2160,290.0,-82.0,-112.0,-62.0,47.0,-39.0
2200,253.0,23.0,-27.0,-77.0,7.0,36.0
2240,232.0,86.0,-97.0,-24.0,3.0,-140.0
2280,247.0,-104.0,-117.0,15.0,-7.0,-117.0
2320,199.0,91.0,2.0,10.0,-52.0,-27.0
2360,180.0,-117.0,-190.0,-64.0,-23.0,-58.0
2400,171.0,-13.0,-74.0,-123.0,-11.0,-17.0
2440,132.0,40.0,-19.0,-104.0,-20.0,-3.0
2480,122.0,-40.0,-149.0,-20.0,22.0,-155.0
2520,105.0,-9.0,-69.0,52.0,27.0,-80.0
2560,59.0,5.0,-31.0,27.0,42.0,-61.0
2600,69.0,-114.0,-96.0,-46.0,78.0,3.0
2640,33.0,-51.0,0.0,-130.0,56.0,109.0
2680,-11.0,14.0,-47.0,-120.0,46.0,-24.0
2720,2.0,-52.0,-18.0,-22.0,48.0,-11.0
2760,-57.0,57.0,53.0,1.0,10.0,-39.0
2800,-54.0,33.0,-26.0,1.0,51.0,-138.0
2840,-57.0,-21.0,33.0,-16.0,63.0,-14.0
2880,-103.0,57.0,61.0,-60.0,80.0,45.0
2920,-120.0,-74.0,-96.0,-49.0,114.0,9.0
2960,-134.0,-10.0,14.0,-32.0,103.0,49.0
3000,-193.0,26.0,-10.0,-38.0,116.0,30.0
3040,-202.0,-50.0,-120.0,-57.0,129.0,12.0
3080,-224.0,13.0,-4.0,-47.0,109.0,26.0
3120,-248.0,39.0,-37.0,-20.0,135.0,-13.0
3160,-219.0,-55.0,-64.0,-13.0,136.0,34.0
3200,-266.0,73.0,14.0,-43.0,74.0,78.0
3240,-273.0,-46.0,-55.0,-43.0,45.0,-8.0
3280,-252.0,51.0,10.0,-33.0,44.0,37.0
3320,-244.0,43.0,-1.0,-38.0,32.0,52.0
3360,-219.0,75.0,-49.0,-38.0,65.0,111.0
3400,-196.0,-64.0,44.0,-36.0,55.0,58.0
3440,-231.0,220.0,62.0,-19.0,35.0,-5.0
3480,-170.0,-132.0,-125.0,20.0,43.0,-47.0
3520,-177.0,151.0,57.0,21.0,26.0,-14.0
3560,-159.0,-13.0,-61.0,6.0,32.0,-11.0
3600,-132.0,58.0,-42.0,-56.0,13.0,71.0
3640,-133.0,-22.0,-33.0,-100.0,-36.0,133.0
3680,-151.0,64.0,-14.0,-68.0,-24.0,30.0
3720,-110.0,40.0,-44.0,-13.0,-34.0,39.0
3760,-97.0,145.0,8.0,21.0,-50.0,80.0
3800,-56.0,56.0,-88.0,18.0,-37.0,84.0
3840,-30.0,-7.0,-2.0,-22.0,-65.0,92.0
3880,-51.0,142.0,-22.0,-28.0,-104.0,91.0
3920,-32.0,0.0,-155.0,18.0,-101.0,-5.0
3960,-33.0,70.0,-20.0,37.0,-104.0,45.0
4000,-24.0,65.0,-59.0,48.0,-73.0,-21.0
4040,16.0,-25.0,-139.0,38.0,-39.0,-59.0
4080,10.0,108.0,-21.0,-15.0,-84.0,51.0
4120,6.0,-22.0,-112.0,-34.0,-117.0,31.0
4160,3.0,24.0,-57.0,-27.0,-135.0,30.0
4200,-8.0,103.0,-41.0,-25.0,-150.0,81.0
4240,10.0,44.0,-131.0,-9.0,-107.0,41.0
4280,47.0,88.0,-27.0,-22.0,-81.0,73.0
4320,11.0,101.0,-29.0,-45.0,-63.0,48.0
4360,15.0,48.0,-99.0,-28.0,-31.0,-5.0
4400,3.0,30.0,-63.0,-18.0,-44.0,49.0
4440,14.0,75.0,-27.0,-23.0,-27.0,-12.0
4480,52.0,-77.0,-100.0,-32.0,-13.0,-19.0
4520,54.0,101.0,-38.0,-53.0,-21.0,51.0
4560,35.0,-79.0,-134.0,-66.0,-7.0,13.0
4600,21.0,0.0,-18.0,-64.0,-10.0,-1.0
4640,-19.0,-27.0,-16.0,-78.0,-45.0,25.0
4680,-8.0,24.0,-38.0,-77.0,-35.0,-33.0
4720,6.0,-111.0,-23.0,-84.0,-8.0,39.0
4760,-17.0,63.0,99.0,-94.0,26.0,18.0
4800,-19.0,-110.0,-58.0,-79.0,70.0,5.0
4840,-51.0,26.0,27.0,-82.0,66.0,73.0
4880,-77.0,22.0,30.0,-80.0,74.0,6.0
4920,-74.0,-43.0,-35.0,-63.0,117.0,-30.0
4960,-97.0,1.0,0.0,-78.0,109.0,36.0
5000,-114.0,17.0,-57.0,-95.0,105.0,22.0
5040,-63.0,-127.0,-72.0,-128.0,74.0,22.0
5080,-99.0,29.0,19.0,-161.0,9.0,-6.0
5120,-98.0,-62.0,-82.0,-114.0,9.0,-122.0
5160,-111.0,-60.0,-58.0,-79.0,30.0,-48.0
5200,-122.0,30.0,-3.0,-75.0,68.0,-64.0
5240,-101.0,-91.0,-78.0,-97.0,122.0,-7.0
5280,-81.0,-25.0,11.0,-145.0,102.0,80.0
5320,-102.0,5.0,-26.0,-138.0,89.0,-10.0
5360,-87.0,-53.0,-35.0,-82.0,115.0,-69.0
5400,-102.0,12.0,61.0,-48.0,101.0,-27.0
5440,-88.0,11.0,17.0,-49.0,107.0,-31.0
5480,-33.0,-57.0,-43.0,-72.0,74.0,-5.0
5520,-29.0,-8.0,56.0,-102.0,-16.0,-30.0
5560,-31.0,-9.0,-21.0,-84.0,-49.0,-35.0
5600,-12.0,-150.0,-72.0,-74.0,-44.0,-54.0
5640,-28.0,38.0,11.0,-68.0,5.0,-54.0
5680,11.0,-158.0,-114.0,-45.0,78.0,-92.0
5720,7.0,-8.0,-40.0,-56.0,88.0,-43.0
5760,15.0,-45.0,-76.0,-73.0,61.0,-73.0
5800,43.0,-51.0,-117.0,-45.0,30.0,-131.0
5840,69.0,-81.0,-56.0,-53.0,-32.0,-111.0
5880,38.0,23.0,-84.0,-50.0,-40.0,-120.0
5920,78.0,-125.0,-145.0,-57.0,-4.0,-61.0
5960,59.0,31.0,-12.0,-81.0,9.0,19.0
6000,84.0,-5.0,-98.0,-71.0,24.0,-51.0
6040,118.0,-77.0,-67.0,-47.0,-10.0,-21.0
6080,95.0,95.0,22.0,-30.0,-57.0,-41.0
6120,97.0,-101.0,-82.0,-9.0,-37.0,-77.0
6160,70.0,11.0,0.0,-9.0,-21.0,-32.0
6200,30.0,-7.0,-34.0,-9.0,-2.0,-64.0
6240,39.0,14.0,-76.0,-6.0,5.0,-57.0
6280,47.0,-13.0,-27.0,-20.0,-57.0,7.0
6320,33.0,53.0,-29.0,-17.0,-79.0,-90.0
6360,41.0,-79.0,-74.0,4.0,-55.0,-86.0
6400,-12.0,32.0,-16.0,-8.0,-48.0,4.0
6440,-44.0,3.0,-109.0,-27.0,-17.0,4.0
6480,-29.0,-75.0,-102.0,-47.0,-33.0,41.0
6520,-61.0,64.0,-6.0,-77.0,-94.0,14.0
6560,-60.0,19.0,-132.0,-40.0,-92.0,-59.0
6600,-53.0,-14.0,-42.0,-10.0,-81.0,-13.0
6640,-98.0,49.0,55.0,-29.0,-50.0,8.0
6680,-118.0,-45.0,-38.0,-65.0,-10.0,16.0
6720,-129.0,-1.0,20.0,-128.0,-56.0,102.0
6760,-158.0,60.0,14.0,-114.0,-88.0,61.0
6800,-126.0,-33.0,-14.0,-66.0,-82.0,8.0
6840,-162.0,61.0,70.0,-34.0,-80.0,33.0
6880,-195.0,-5.0,20.0,4.0,-25.0,-35.0
6920,-219.0,-17.0,69.0,-9.0,-4.0,56.0
6960,-254.0,32.0,113.0,-52.0,-42.0,83.0
