Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,64.0,-85.0,-56.0,-88.0,47.0,11.0
40,62.0,17.0,120.0,-103.0,26.0,52.0
80,32.0,48.0,37.0,-81.0,24.0,33.0
120,51.0,-61.0,1.0,-36.0,68.0,-4.0
160,22.0,78.0,149.0,-14.0,68.0,39.0
200,52.0,42.0,81.0,18.0,83.0,-11.0
240,67.0,-49.0,27.0,30.0,94.0,-2.0
280,51.0,124.0,167.0,13.0,59.0,23.0
320,54.0,-33.0,12.0,21.0,55.0,-30.0
360,48.0,11.0,63.0,12.0,44.0,5.0
400,26.0,111.0,58.0,-9.0,6.0,40.0
440,48.0,-33.0,-63.0,-13.0,8.0,20.0
480,43.0,38.0,39.0,-32.0,-28.0,80.0
520,33.0,118.0,11.0,-58.0,-70.0,112.0
560,66.0,-76.0,-92.0,-51.0,-51.0,61.0
600,32.0,138.0,100.0,-53.0,-37.0,117.0
640,21.0,25.0,-19.0,-28.0,-3.0,68.0
680,18.0,46.0,-25.0,4.0,29.0,65.0
720,10.0,124.0,70.0,-3.0,-1.0,105.0
760,32.0,51.0,15.0,-8.0,-5.0,55.0
800,40.0,-20.0,46.0,-14.0,-8.0,51.0
840,7.0,170.0,105.0,-7.0,-43.0,63.0
880,21.0,-61.0,-44.0,38.0,-51.0,3.0
920,8.0,69.0,78.0,51.0,-90.0,48.0
960,11.0,41.0,23.0,35.0,-128.0,58.0
1000,29.0,-25.0,-75.0,34.0,-104.0,18.0
1040,14.0,5.0,39.0,36.0,-100.0,56.0
1080,-6.0,44.0,19.0,60.0,-73.0,18.0
1120,3.0,-109.0,-64.0,80.0,-37.0,-5.0
1160,-37.0,113.0,67.0,62.0,-56.0,15.0
1200,-22.0,-33.0,-78.0,59.0,-60.0,-49.0
1240,-1.0,-29.0,-4.0,72.0,-78.0,-34.0
1280,-22.0,21.0,39.0,23.0,-119.0,82.0
1320,-13.0,-91.0,-111.0,-29.0,-132.0,124.0
1360,-19.0,-77.0,5.0,-61.0,-114.0,16.0
1400,-60.0,106.0,69.0,-27.0,-116.0,32.0
1440,-28.0,-130.0,-69.0,67.0,-95.0,-66.0
1480,-44.0,54.0,90.0,4.0,-112.0,100.0
1520,-64.0,-89.0,2.0,-42.0,-128.0,-159.0
1560,-70.0,25.0,32.0,55.0,-87.0,-303.0
1600,-90.0,3.0,63.0,82.0,-130.0,107.0
1640,-117.0,-53.0,-45.0,130.0,-91.0,-131.0
1680,-115.0,-101.0,-30.0,85.0,-70.0,68.0
1720,-120.0,25.0,112.0,16.0,-123.0,-157.0
1760,-120.0,-84.0,-101.0,5.0,-110.0,-80.0
1800,-124.0,-122.0,-39.0,13.0,-112.0,-60.0
1840,-156.0,20.0,86.0,53.0,-137.0,-129.0
1880,-143.0,-104.0,-110.0,45.0,-99.0,-22.0
1920,-160.0,-16.0,6.0,-6.0,-87.0,22.0
1960,-153.0,-79.0,3.0,36.0,-111.0,15.0
2000,-107.0,-121.0,-40.0,89.0,-104.0,-62.0
2040,-135.0,55.0,102.0,53.0,-100.0,-43.0
2080,-101.0,-3.0,88.0,41.0,-70.0,5.0
2120,-123.0,-78.0,-44.0,76.0,-55.0,-91.0
2160,-133.0,31.0,150.0,60.0,-89.0,-3.0
2200,-104.0,-95.0,53.0,49.0,-93.0,0.0
2240,-92.0,-77.0,0.0,22.0,-79.0,-5.0
2280,-135.0,94.0,118.0,-27.0,-116.0,20.0
2320,-109.0,-137.0,-4.0,-9.0,-103.0,-24.0
2360,-124.0,-125.0,34.0,23.0,-100.0,28.0
2400,-151.0,18.0,93.0,-29.0,-96.0,-52.0
2440,-137.0,-132.0,-25.0,-29.0,-53.0,-61.0
2480,-137.0,64.0,87.0,7.0,-64.0,-94.0
2520,-127.0,-64.0,-28.0,22.0,-54.0,23.0
2560,-99.0,-144.0,37.0,23.0,-21.0,29.0
