Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-75.0,-12.0,3.0,-49.0,5.0,39.0
40,-118.0,174.0,98.0,-22.0,24.0,10.0
80,-100.0,38.0,3.0,35.0,34.0,-13.0
120,-77.0,16.0,58.0,63.0,58.0,-46.0
160,-109.0,99.0,47.0,72.0,63.0,-103.0
200,-78.0,-93.0,-41.0,66.0,42.0,-87.0
240,-105.0,17.0,15.0,9.0,6.0,-22.0
280,-71.0,-16.0,-40.0,-43.0,-47.0,-21.0
320,-35.0,-71.0,-96.0,-60.0,-92.0,-5.0
360,-53.0,45.0,-6.0,-59.0,-96.0,-15.0
400,-25.0,-73.0,-62.0,-18.0,-47.0,-72.0
440,-15.0,-32.0,-25.0,-42.0,19.0,6.0
480,-36.0,-34.0,26.0,-87.0,34.0,37.0
520,-14.0,-67.0,26.0,-78.0,36.0,20.0
560,-16.0,-9.0,26.0,-66.0,8.0,58.0
600,-11.0,42.0,70.0,-9.0,-20.0,100.0
640,-1.0,-65.0,65.0,-1.0,2.0,53.0
680,-41.0,95.0,131.0,-6.0,20.0,40.0
720,-14.0,34.0,81.0,17.0,1.0,-6.0
760,-2.0,16.0,75.0,6.0,-19.0,50.0
800,-5.0,88.0,102.0,4.0,-61.0,-25.0
840,35.0,-29.0,10.0,17.0,-103.0,-14.0
880,14.0,2.0,-15.0,16.0,-72.0,-10.0
920,3.0,19.0,-10.0,4.0,3.0,-9.0
960,33.0,-103.0,-81.0,-9.0,71.0,-7.0
1000,-2.0,43.0,-47.0,3.0,88.0,-22.0
1040,36.0,14.0,-68.0,21.0,58.0,-3.0
1080,58.0,-67.0,-115.0,5.0,31.0,-60.0
1120,59.0,84.0,-12.0,-4.0,-22.0,-28.0
1160,91.0,-84.0,-136.0,-23.0,-43.0,-34.0
1200,89.0,-40.0,-73.0,-62.0,-32.0,-9.0
1240,94.0,29.0,6.0,-58.0,-31.0,-14.0
1280,122.0,-68.0,-80.0,-43.0,-7.0,-13.0
1320,95.0,71.0,-5.0,-28.0,-2.0,3.0
1360,118.0,19.0,25.0,16.0,-3.0,-58.0
1400,129.0,-73.0,26.0,49.0,21.0,-47.0
1440,72.0,94.0,70.0,69.0,39.0,7.0
1480,92.0,-63.0,-14.0,80.0,62.0,-28.0
1520,70.0,2.0,58.0,57.0,40.0,16.0
1560,68.0,46.0,43.0,47.0,-20.0,20.0
1600,98.0,-63.0,-35.0,39.0,-61.0,0.0
1640,58.0,15.0,34.0,26.0,-88.0,-19.0
1680,61.0,32.0,18.0,23.0,-85.0,1.0
1720,70.0,-161.0,-120.0,3.0,-26.0,-23.0
1760,40.0,66.0,31.0,5.0,18.0,-86.0
1800,68.0,-172.0,-88.0,17.0,24.0,-30.0
1840,54.0,-45.0,-79.0,-18.0,27.0,-38.0
1880,39.0,-68.0,-63.0,-55.0,-3.0,-18.0
1920,60.0,-97.0,-15.0,-51.0,-25.0,-62.0
1960,33.0,-41.0,6.0,-21.0,-41.0,-68.0
2000,40.0,23.0,-29.0,15.0,-60.0,-102.0
2040,79.0,-145.0,-22.0,19.0,-55.0,-113.0
2080,38.0,70.0,90.0,-3.0,-67.0,-32.0
2120,91.0,-67.0,-36.0,-21.0,-62.0,25.0
2160,63.0,-33.0,-21.0,-37.0,-62.0,56.0
2200,53.0,69.0,114.0,-1.0,-104.0,121.0
2240,64.0,-62.0,-2.0,57.0,-56.0,-37.0
2280,41.0,75.0,27.0,37.0,-19.0,89.0
2320,38.0,35.0,53.0,31.0,-3.0,10.0
2360,49.0,-44.0,32.0,42.0,42.0,33.0
2400,22.0,80.0,77.0,-10.0,-26.0,166.0
2440,58.0,-51.0,-32.0,-23.0,-121.0,136.0
2480,63.0,-59.0,7.0,-4.0,-166.0,144.0
2520,48.0,92.0,73.0,-23.0,-182.0,89.0
2560,103.0,-64.0,-35.0,-38.0,-148.0,63.0
2600,64.0,38.0,36.0,-36.0,-62.0,67.0
2640,56.0,58.0,86.0,-15.0,-5.0,-46.0
2680,60.0,-82.0,-8.0,4.0,-12.0,12.0
