Time,Ch1_X,Ch1_Y,Ch1_Z,Ch2_X,Ch2_Y,Ch2_Z
0,-15.0,4.0,-100.0,-61.0,-46464.0,24.0
40,-35.0,-179.0,-148.0,-132.0,-46464.0,18.0
80,-100.0,139.0,60.0,-144.0,-46464.0,51.0
120,-88.0,-53.0,-72.0,-89.0,-46464.0,-105.0
160,-81.0,-51.0,-2.0,-19.0,-46464.0,-15.0
200,-107.0,50.0,92.0,-23.0,-46464.0,122.0
240,-66.0,-38.0,31.0,-88.0,-46464.0,80.0
280,-77.0,83.0,21.0,-96.0,-46464.0,119.0
320,-75.0,32.0,-11.0,-25.0,-46464.0,-2.0
360,-61.0,-110.0,29.0,27.0,-46464.0,34.0
400,-90.0,171.0,84.0,39.0,-46464.0,61.0
440,-51.0,-169.0,-90.0,-18.0,-46464.0,3.0
480,-73.0,75.0,160.0,-25.0,-46464.0,39.0
520,-80.0,-22.0,52.0,-8.0,-46464.0,98.0
560,-55.0,42.0,-37.0,4.0,-46464.0,116.0
600,-56.0,5.0,-11.0,27.0,-46464.0,103.0
640,-45.0,62.0,55.0,50.0,-46464.0,8.0
680,-24.0,-7.0,-24.0,73.0,-46464.0,32.0
720,-46.0,143.0,29.0,14.0,-46464.0,179.0
760,9.0,-45.0,33.0,-90.0,-46464.0,225.0
800,-29.0,110.0,82.0,-147.0,-46464.0,221.0
840,-29.0,122.0,10.0,-101.0,-46464.0,94.0
880,-19.0,58.0,-9.0,-6.0,-46464.0,44.0
920,11.0,141.0,105.0,63.0,-46464.0,86.0
960,20.0,52.0,59.0,43.0,-46464.0,7.0
1000,39.0,-7.0,47.0,-36.0,-46464.0,64.0
1040,-3.0,87.0,128.0,-54.0,-46464.0,-26.0
1080,6.0,-16.0,66.0,21.0,-46464.0,-107.0
1120,-38.0,7.0,79.0,119.0,-46464.0,-104.0
1160,-40.0,78.0,72.0,124.0,-46464.0,-45.0
1200,-17.0,-212.0,-33.0,39.0,-46464.0,74.0
1240,-57.0,92.0,95.0,-36.0,-46464.0,107.0
1280,-54.0,-183.0,-23.0,-48.0,-46464.0,50.0
1320,-58.0,40.0,53.0,-5.0,-46464.0,52.0
1360,-60.0,-92.0,6.0,53.0,-46464.0,-12.0
1400,-44.0,6.0,67.0,49.0,-46464.0,-20.0
1440,-53.0,-112.0,76.0,23.0,-46464.0,42.0
1480,-85.0,79.0,75.0,24.0,-46464.0,-1.0
1520,-65.0,-228.0,-37.0,15.0,-46464.0,-65.0
1560,-109.0,114.0,128.0,24.0,-46464.0,-17.0
1600,-69.0,-176.0,-13.0,-40.0,-46464.0,-114.0
1640,-91.0,-19.0,25.0,-110.0,-46464.0,49.0
1680,-113.0,33.0,78.0,60.0,-46464.0,-408.0
1720,-104.0,-46.0,52.0,147.0,-46464.0,-270.0
1760,-149.0,-111.0,29.0,149.0,-46464.0,-23.0
1800,-165.0,17.0,65.0,74.0,-46464.0,-39.0
1840,-130.0,-188.0,-36.0,2.0,-46464.0,60.0
1880,-154.0,22.0,62.0,19.0,-46464.0,-121.0
1920,-150.0,-182.0,-77.0,26.0,-46464.0,65.0
1960,-159.0,-38.0,52.0,50.0,-46464.0,-82.0
2000,-197.0,3.0,17.0,47.0,-46464.0,20.0
2040,-172.0,-132.0,-17.0,8.0,-46464.0,-189.0
2080,-193.0,-51.0,89.0,-40.0,-46464.0,-66.0
2120,-152.0,-101.0,-1.0,-50.0,-46464.0,-38.0
2160,-115.0,-132.0,-58.0,-15.0,-46464.0,-23.0
2200,-134.0,-41.0,30.0,-5.0,-46464.0,-154.0
2240,-121.0,-94.0,-8.0,25.0,-46464.0,-110.0
2280,-139.0,-55.0,3.0,65.0,-46464.0,-148.0
2320,-128.0,46.0,71.0,92.0,-46464.0,-94.0
2360,-76.0,-233.0,28.0,99.0,-46464.0,-253.0
2400,-101.0,64.0,84.0,85.0,-46464.0,-100.0
2440,-68.0,-117.0,-37.0,55.0,-46464.0,-76.0
2480,-73.0,-77.0,44.0,32.0,-46464.0,-171.0
2520,-96.0,45.0,85.0,107.0,-46464.0,-134.0
2560,-67.0,-109.0,0.0,105.0,-46464.0,-187.0
2600,-62.0,-160.0,26.0,38.0,-46464.0,-16.0
2640,-66.0,10.0,87.0,-27.0,-46464.0,-113.0
2680,-10.0,-187.0,-57.0,-33.0,-46464.0,-38.0
2720,-38.0,-10.0,-5.0,-34.0,-46464.0,-71.0
2760,-29.0,-108.0,-46.0,-43.0,-46464.0,-7.0
2800,-32.0,-104.0,-11.0,-85.0,-46464.0,-37.0
2840,-35.0,90.0,7.0,-74.0,-46464.0,-56.0
2880,32.0,-77.0,-66.0,-43.0,-46464.0,-84.0
2920,44.0,21.0,58.0,82.0,-46464.0,-65.0
2960,59.0,55.0,5.0,116.0,-46464.0,-59.0
3000,85.0,-53.0,-102.0,41.0,-46464.0,49.0
3040,43.0,49.0,18.0,20.0,-46464.0,36.0
3080,64.0,89.0,-14.0,80.0,-46464.0,-87.0
3120,91.0,-7.0,-67.0,94.0,-46464.0,25.0
3160,67.0,245.0,19.0,77.0,-46464.0,19.0
3200,114.0,-69.0,-53.0,7.0,-46464.0,133.0
3240,72.0,169.0,49.0,-43.0,-46464.0,3.0
3280,82.0,86.0,-53.0,-107.0,-46464.0,130.0
3320,98.0,36.0,-49.0,-104.0,-46464.0,124.0
3360,90.0,133.0,39.0,-104.0,-46464.0,183.0
3400,107.0,80.0,-37.0,-96.0,-46464.0,46.0
3440,109.0,88.0,-40.0,-97.0,-46464.0,74.0
3480,81.0,158.0,48.0,-61.0,-46464.0,291.0
3520,115.0,-11.0,31.0,-61.0,-46464.0,178.0
3560,85.0,105.0,60.0,-84.0,-46464.0,271.0
3600,100.0,205.0,31.0,-45.0,-46464.0,68.0
3640,149.0,22.0,7.0,43.0,-46464.0,134.0
3680,110.0,158.0,124.0,-8.0,-46464.0,138.0
3720,140.0,74.0,17.0,-25.0,-46464.0,139.0
3760,151.0,56.0,55.0,-16.0,-46464.0,118.0
3800,140.0,187.0,117.0,11.0,-46464.0,82.0
3840,160.0,-77.0,-7.0,29.0,-46464.0,193.0
3880,131.0,132.0,99.0,42.0,-46464.0,190.0
3920,153.0,71.0,1.0,-12.0,-46464.0,46.0
3960,176.0,9.0,-27.0,-69.0,-46464.0,128.0
4000,147.0,111.0,64.0,-74.0,-46464.0,91.0
4040,168.0,9.0,-34.0,-115.0,-46464.0,134.0
4080,151.0,52.0,-14.0,-151.0,-46464.0,67.0
4120,143.0,171.0,36.0,-121.0,-46464.0,26.0
4160,175.0,-105.0,-87.0,-113.0,-46464.0,154.0
4200,150.0,169.0,12.0,-135.0,-46464.0,134.0
4240,184.0,67.0,-76.0,-76.0,-46464.0,96.0
4280,195.0,91.0,-35.0,6.0,-46464.0,-7.0
4320,151.0,109.0,13.0,37.0,-46464.0,70.0
4360,172.0,35.0,-18.0,35.0,-46464.0,22.0
4400,164.0,37.0,10.0,3.0,-46464.0,77.0
4440,136.0,168.0,4.0,13.0,-46464.0,3.0
4480,162.0,-77.0,-104.0,30.0,-46464.0,0.0
4520,134.0,114.0,24.0,37.0,-46464.0,-11.0
4560,158.0,-8.0,-49.0,27.0,-46464.0,0.0
4600,138.0,-90.0,-74.0,-5.0,-46464.0,54.0
4640,106.0,85.0,26.0,-39.0,-46464.0,65.0
4680,122.0,-189.0,-97.0,-37.0,-46464.0,-105.0
4720,87.0,50.0,16.0,-35.0,-46464.0,51.0
4760,28.0,-38.0,-64.0,-11.0,-46464.0,-139.0
4800,44.0,-54.0,-53.0,9.0,-46464.0,55.0
4840,35.0,-67.0,-12.0,21.0,-46464.0,-75.0
4880,29.0,-60.0,-12.0,-25.0,-46464.0,5.0
4920,-3.0,-153.0,-50.0,2.0,-46464.0,-95.0
4960,-24.0,78.0,87.0,58.0,-46464.0,-75.0
5000,24.0,-281.0,-46.0,72.0,-46464.0,-153.0
5040,-44.0,5.0,57.0,59.0,-46464.0,-209.0
5080,-53.0,-85.0,-11.0,30.0,-46464.0,-62.0
5120,-31.0,-158.0,-6.0,18.0,-46464.0,-47.0
5160,-60.0,-73.0,47.0,46.0,-46464.0,-261.0
5200,-92.0,-120.0,7.0,57.0,-46464.0,-197.0
5240,-111.0,-160.0,-46.0,90.0,-46464.0,-205.0
5280,-151.0,-35.0,-21.0,64.0,-46464.0,-86.0
5320,-115.0,-183.0,-47.0,22.0,-46464.0,-180.0
5360,-140.0,-151.0,-33.0,-14.0,-46464.0,-184.0
5400,-160.0,-54.0,-61.0,-23.0,-46464.0,-78.0
5440,-148.0,-201.0,-68.0,-4.0,-46464.0,-92.0
5480,-170.0,-3.0,42.0,21.0,-46464.0,-129.0
5520,-163.0,-153.0,-89.0,8.0,-46464.0,-139.0
5560,-180.0,-114.0,11.0,-27.0,-46464.0,-70.0
5600,-178.0,-9.0,22.0,-10.0,-46464.0,-40.0
5640,-120.0,-133.0,-51.0,36.0,-46464.0,-85.0
5680,-142.0,16.0,58.0,89.0,-46464.0,-117.0
5720,-126.0,-13.0,72.0,123.0,-46464.0,-65.0
5760,-97.0,-76.0,42.0,97.0,-46464.0,-24.0
5800,-125.0,33.0,98.0,37.0,-46464.0,-45.0
5840,-109.0,-106.0,21.0,39.0,-46464.0,-111.0
5880,-97.0,15.0,59.0,70.0,-46464.0,-58.0
5920,-89.0,21.0,-3.0,49.0,-46464.0,-53.0
5960,-44.0,-116.0,-28.0,20.0,-46464.0,40.0
6000,-80.0,-45.0,-4.0,-22.0,-46464.0,12.0
6040,-72.0,-46.0,-21.0,-55.0,-46464.0,11.0
6080,-66.0,-78.0,-83.0,-31.0,-46464.0,42.0
6120,-82.0,-16.0,-21.0,-16.0,-46464.0,62.0
6160,-43.0,-11.0,-16.0,-4.0,-46464.0,39.0
6200,-14.0,-98.0,-70.0,21.0,-46464.0,35.0
6240,-14.0,114.0,51.0,12.0,-46464.0,22.0
6280,0.0,-145.0,-74.0,1.0,-46464.0,75.0
6320,3.0,108.0,120.0,-3.0,-46464.0,106.0
6360,16.0,42.0,17.0,25.0,-46464.0,7.0
6400,65.0,40.0,21.0,88.0,-46464.0,-14.0
6440,47.0,139.0,59.0,89.0,-46464.0,-2.0
6480,91.0,-79.0,-5.0,53.0,-46464.0,19.0
6520,81.0,50.0,34.0,14.0,-46464.0,55.0
6560,66.0,126.0,5.0,-25.0,-46464.0,-7.0
6600,94.0,-89.0,-78.0,-12.0,-46464.0,0.0
6640,67.0,143.0,61.0,7.0,-46464.0,16.0
6680,101.0,-4.0,-65.0,5.0,-46464.0,-28.0
6720,111.0,95.0,-27.0,-40.0,-46464.0,164.0
6760,80.0,32.0,-36.0,-71.0,-46464.0,43.0
6800,101.0,39.0,-25.0,-44.0,-46464.0,27.0
6840,78.0,3.0,-92.0,-30.0,-46464.0,106.0
6880,84.0,129.0,-17.0,4.0,-46464.0,50.0
6920,107.0,-83.0,-54.0,11.0,-46464.0,68.0
6960,74.0,124.0,48.0,7.0,-46464.0,44.0
7000,88.0,-22.0,-32.0,7.0,-46464.0,11.0
7040,80.0,40.0,17.0,-5.0,-46464.0,99.0
7080,82.0,85.0,87.0,11.0,-46464.0,36.0
7120,104.0,-24.0,-18.0,14.0,-46464.0,115.0
7160,94.0,64.0,-8.0,26.0,-46464.0,-11.0
7200,83.0,126.0,32.0,1.0,-46464.0,125.0
7240,114.0,-44.0,-30.0,-16.0,-46464.0,74.0
7280,72.0,163.0,55.0,-21.0,-46464.0,4.0
7320,109.0,-22.0,-38.0,-9.0,-46464.0,-21.0
7360,84.0,53.0,-24.0,17.0,-46464.0,-10.0
7400,66.0,37.0,-27.0,7.0,-46464.0,62.0
7440,106.0,-7.0,-61.0,-37.0,-46464.0,22.0
7480,103.0,-22.0,-53.0,-76.0,-46464.0,84.0
7520,68.0,97.0,-25.0,-68.0,-46464.0,-6.0
7560,56.0,-122.0,-76.0,-37.0,-46464.0,73.0
7600,33.0,180.0,67.0,-2.0,-46464.0,98.0
7640,94.0,-66.0,-43.0,25.0,-46464.0,-44.0
